ID_CENTRO;2113;2113;2113;2113
ID_ACCESO;1880;1881;1882;1884
ENTRADA;S;S;S;N
02/06/19;6730;4720;1641;4582
03/06/19;7373;5076;2092;5291
04/06/19;7012;5234;2145;5385
05/06/19;6835;4803;2138;4791
06/06/19;6399;4730;2038;5040
07/06/19;7629;5840;2479;5514
08/06/19;7190;5430;2133;5203
09/06/19;6355;4488;1588;4257
10/06/19;6562;4767;2033;4914
11/06/19;7137;4921;2113;5573
12/06/19;6987;4855;1998;5399
13/06/19;7235;4924;2157;5748
14/06/19;7249;5373;2328;5238
15/06/19;6959;5063;2060;4614
16/06/19;6989;4629;1854;4487
17/06/19;6584;4678;2070;4994
18/06/19;6329;4662;2182;4741
19/06/19;6880;5293;2368;4991
20/06/19;6625;4946;2382;4987
21/06/19;7031;5349;2225;5066
22/06/19;6368;5048;1937;4826
23/06/19;5820;4445;1891;3995
24/06/19;6419;4481;2081;4308
25/06/19;6647;4657;2054;4098
26/06/19;6605;4788;2143;4393
27/06/19;6846;4823;2059;4757
28/06/19;7275;5481;2229;5537
29/06/19;6963;5020;2062;4903
30/06/19;6824;4685;1980;3887
01/07/19;6534;5194;1934;4809
02/07/19;6235;4904;2000;5126
03/07/19;6458;4752;1992;5992
04/07/19;5760;4399;1773;4972
05/07/19;7014;5389;2066;6012
06/07/19;6392;4870;1713;5074
07/07/19;6396;4279;1714;4551
08/07/19;6636;4999;1957;5161
09/07/19;6416;4923;1840;5478
10/07/19;6531;4729;1909;5756
11/07/19;6361;4753;1729;5459
12/07/19;7320;5704;2270;4576
13/07/19;7069;5194;2065;5160
14/07/19;6704;4863;1561;4428
15/07/19;6346;4941;1945;5743
16/07/19;6140;4783;1948;4972
17/07/19;6121;4642;1909;5079
18/07/19;5812;4641;1736;4735
19/07/19;6605;5001;1787;5124
20/07/19;6128;4734;1570;4018
21/07/19;5810;3878;1259;4385
22/07/19;6019;4702;1721;5127
23/07/19;6147;4472;1792;4465
24/07/19;5942;4461;1609;4810
25/07/19;5909;4476;1867;4994
26/07/19;6571;5511;2092;5737
27/07/19;6499;4786;2038;5801
28/07/19;5957;4182;1518;4906
29/07/19;6185;4841;1820;4948
30/07/19;5885;4721;1824;5272
31/07/19;6010;5055;1971;5232
01/08/19;6266;4943;1857;5081
02/08/19;6675;5386;2013;4822
03/08/19;6570;4852;1495;4811
04/08/19;5827;3994;1440;3825
05/08/19;5968;4729;1717;4740
06/08/19;5585;4630;1733;5276
07/08/19;5835;4381;1848;5524
08/08/19;6070;5000;2042;5486
09/08/19;6397;5223;1832;5259
10/08/19;5949;4381;1552;4263
11/08/19;5790;3917;1444;3839
12/08/19;5571;4162;1629;4910
13/08/19;5620;4009;1621;5184
14/08/19;5720;4110;1589;4598
15/08/19;5389;3601;1333;4160
16/08/19;6192;4510;1692;4353
17/08/19;5420;3732;1327;3808
18/08/19;5525;3798;1492;4376
19/08/19;5933;4662;1914;4624
20/08/19;5808;4225;1562;4645
21/08/19;5584;3889;1444;4733
22/08/19;5673;3971;1520;4230
23/08/19;6409;4843;1587;5361
24/08/19;6022;3973;1448;4994
25/08/19;5929;3895;1475;4616
26/08/19;6264;4959;1772;5528
27/08/19;6056;4767;1653;5148
28/08/19;6092;4668;1739;5013
29/08/19;5681;5016;1704;4966
30/08/19;6840;5770;1947;5209
31/08/19;7140;5136;1870;4683
01/09/19;6557;4581;1613;4664
02/09/19;6547;5305;1983;6078
03/09/19;6347;4639;1768;5262
04/09/19;5991;4641;1580;5265
05/09/19;6336;4671;1787;5433
06/09/19;6930;5053;1944;5437
07/09/19;6642;5059;1615;5171
08/09/19;6829;4813;1527;4501
09/09/19;7072;5272;2218;4925
10/09/19;6796;5245;1953;5922
11/09/19;6706;5092;1827;4792
12/09/19;7006;5460;1975;5344
13/09/19;7599;6048;2302;5370
14/09/19;7010;5070;1957;4964
15/09/19;8726;6520;2242;5913
16/09/19;8195;5534;1992;5794
17/09/19;8297;5413;1854;5151
18/09/19;7197;5289;1966;4775
19/09/19;7910;5341;1904;5447
20/09/19;7421;5402;2330;4851
21/09/19;6593;5006;2218;3869
22/09/19;7627;5513;2064;5009
23/09/19;7953;5042;2115;4807
24/09/19;7642;4777;2003;4155
25/09/19;7277;4864;1907;5385
26/09/19;7663;4972;1819;5627
27/09/19;7470;5251;2264;5205
28/09/19;6821;5003;2002;4590
29/09/19;7260;5044;2075;5364
30/09/19;8208;5335;2163;5289
01/10/19;7922;5322;2085;5701
02/10/19;7433;4981;1982;5562
03/10/19;7939;5140;2046;5701
04/10/19;7530;5577;2495;6103
05/10/19;6780;5288;2205;4341
06/10/19;7173;5159;1815;4419
07/10/19;7904;5199;2029;5392
08/10/19;7916;5474;2010;5336
09/10/19;7217;5177;1884;4765
10/10/19;7805;5174;1987;5308
11/10/19;8335;5810;2263;6261
12/10/19;7992;6071;2170;5023
13/10/19;7995;5974;2376;6322
14/10/19;6710;4653;1936;4811
15/10/19;7355;4748;1962;4340
16/10/19;6866;4662;1841;4699
17/10/19;6945;4465;1809;4329
18/10/19;7313;5449;2417;5544
19/10/19;6194;4796;2051;4386
20/10/19;6297;4979;1820;4223
21/10/19;7455;4842;1980;4848
22/10/19;7230;4592;1894;4781
23/10/19;6979;4674;1885;5086
24/10/19;7562;4716;1984;5729
25/10/19;7771;5808;2311;5074
26/10/19;6792;5483;1952;4921
27/10/19;6642;4730;1882;4645
28/10/19;7491;5002;2060;5328
29/10/19;7443;4740;2017;4318
30/10/19;7106;5006;2108;4440
31/10/19;8194;6113;2361;4870
01/11/19;6804;5349;2345;4652
02/11/19;6971;5299;2248;4834
03/11/19;6809;4770;1983;4912
04/11/19;7276;4836;2165;4995
05/11/19;7304;4936;2151;5534
06/11/19;6638;4790;2117;4649
07/11/19;7349;4900;2177;5031
08/11/19;7706;5749;2410;5849
09/11/19;6703;5501;2447;5191
10/11/19;6526;5269;2215;4615
11/11/19;7298;4742;2035;5236
12/11/19;7166;4531;2115;5012
13/11/19;7053;4629;2017;4492
14/11/19;6654;4732;1897;4821
15/11/19;7129;5612;2422;5683
16/11/19;6953;5095;2576;5784
17/11/19;5957;4852;2177;5477
18/11/19;7201;4859;2082;5181
19/11/19;7100;4683;2185;5536
20/11/19;6690;4601;2068;4612
21/11/19;7153;4980;2234;4087
22/11/19;6853;5315;2630;4689
23/11/19;6552;5469;2689;5646
24/11/19;6463;5082;2747;5051
25/11/19;7273;5087;2296;4546
26/11/19;7030;4864;2141;5339
27/11/19;7391;5032;2210;5899
28/11/19;7833;5132;2478;5011
29/11/19;7850;6232;3432;5353
30/11/19;7320;6180;3528;4925
01/12/19;7320;5620;2626;4651
02/12/19;7944;5321;2352;5672
03/12/19;7583;5317;2205;6395
04/12/19;7317;4968;2277;5739
05/12/19;7620;4991;2280;5482
06/12/19;7592;6050;2775;5747
07/12/19;7092;5502;2767;6256
08/12/19;6623;5047;2530;5533
09/12/19;7885;5517;2382;5833
10/12/19;7501;5242;2406;5832
11/12/19;7696;5497;2284;6373
12/12/19;6735;5043;2299;4920
13/12/19;7378;5876;2857;5211
14/12/19;7234;5907;3412;6564
15/12/19;7028;5776;3121;6068
16/12/19;7589;5164;2605;6790
17/12/19;8056;5628;2598;6352
18/12/19;7098;5307;2558;5747
19/12/19;6314;4682;2721;5882
20/12/19;6871;5553;3257;6377
21/12/19;7966;6527;3820;8150
22/12/19;8034;6584;4058;7989
23/12/19;9305;8264;5162;11193
24/12/19;6723;5153;2619;6014
25/12/19;0;0;7;5
26/12/19;5846;4286;2295;4961
27/12/19;6281;5049;2700;5834
28/12/19;6412;4723;2346;5575
29/12/19;6234;4751;2281;5766
30/12/19;7448;6417;3074;7596
31/12/19;7058;6015;2664;6158
01/01/20;0;0;69;1
02/01/20;6355;4869;2390;5856
03/01/20;6498;5115;2490;6691
04/01/20;6581;5108;2482;5409
05/01/20;6397;4308;2185;5441
06/01/20;8037;5735;2442;6661
07/01/20;7450;4876;2101;6520
08/01/20;6913;5303;2191;5742
09/01/20;7169;4808;2212;5286
10/01/20;7334;5322;2529;5882
11/01/20;6744;5767;2432;6197
12/01/20;6455;5032;2125;5848
13/01/20;7077;4820;2208;6102
14/01/20;6581;4778;2085;5371
15/01/20;6425;4666;2192;5014
16/01/20;6587;4348;2148;4610
17/01/20;7225;5399;2659;5861
18/01/20;6710;5474;2858;5252
19/01/20;6575;4843;2200;4806
20/01/20;6386;4238;2070;5179
21/01/20;6427;4271;2070;5283
22/01/20;6246;4425;2288;5443
23/01/20;6509;5003;2221;5575
24/01/20;7128;5060;2603;6339
25/01/20;6405;5243;2483;5633
26/01/20;6254;4330;2048;4880
27/01/20;6205;4307;2228;5615
28/01/20;6083;4271;2130;4853
29/01/20;6273;4352;2136;4578
30/01/20;5962;4510;2227;4808
31/01/20;6428;5063;2803;6112
01/02/20;6570;5549;2552;4711
02/02/20;6025;4681;2047;4559
03/02/20;6728;4816;2099;4671
04/02/20;6214;4478;2057;4543
05/02/20;6433;4942;2105;4903
06/02/20;6385;4725;2139;5091
07/02/20;7073;5109;2558;5528
08/02/20;6371;5080;2523;5198
09/02/20;6336;4925;2204;5365
10/02/20;6779;4900;2262;5044
11/02/20;6402;4834;2165;4996
12/02/20;6171;4514;2171;4461
13/02/20;6916;4894;2343;4839
14/02/20;7426;5683;2775;4968
15/02/20;5882;4996;2275;4423
16/02/20;6413;5129;2031;4444
17/02/20;7616;4949;2284;5522
18/02/20;7132;4651;2118;5686
19/02/20;6850;4733;2162;4598
20/02/20;7233;5006;2124;5182
21/02/20;7107;5129;2487;5211
22/02/20;6339;5160;2000;4411
23/02/20;5560;3972;1774;3691
24/02/20;6629;5243;2185;4999
25/02/20;5924;3927;2247;4555
26/02/20;6705;5150;2110;5109
27/02/20;7006;4980;2100;5156
28/02/20;7425;5367;2340;5657
29/02/20;6445;5623;2822;4556
01/03/20;6020;4575;2161;3997
02/03/20;7510;5499;2367;5759
03/03/20;6980;4944;2284;4986
04/03/20;6939;4852;2348;4154
05/03/20;7041;5168;2309;5099
06/03/20;7285;5509;2690;6089
07/03/20;6665;5581;2417;5143
08/03/20;6571;4917;2140;4729
09/03/20;7705;5438;2169;5767
10/03/20;7420;5919;2119;5110
11/03/20;6846;6085;1887;4346
12/03/20;6846;5255;1453;3879
13/03/20;6218;4701;1159;3210
14/03/20;4515;3347;756;2436
15/03/20;3554;2448;534;1983
16/03/20;3720;2735;599;1996
17/03/20;3118;2486;512;1351
18/03/20;3668;2525;491;1498
19/03/20;2992;1669;205;1470
20/03/20;2761;1667;12;1777
21/03/20;3460;2146;20;1814
22/03/20;2749;1570;16;1521
23/03/20;3319;1857;16;1655
24/03/20;3138;1919;13;1682
25/03/20;3289;1885;12;1585
26/03/20;3246;1867;34;1558
27/03/20;3772;1980;9;1766
28/03/20;3708;1971;6;1537
29/03/20;3055;1552;9;1367
30/03/20;3112;1704;10;1625
31/03/20;3277;2104;10;1540
01/04/20;3495;1895;10;1681
02/04/20;3579;2276;16;1698
03/04/20;3846;2470;5;1787
04/04/20;3619;2244;4;1469
05/04/20;2882;1404;6;1286
06/04/20;3512;2407;3;1614
07/04/20;3331;2251;20;1393
08/04/20;3319;2514;7;1566
09/04/20;3350;2258;10;1647
10/04/20;2780;1985;4;1779
11/04/20;3607;2303;1;1607
12/04/20;1035;431;0;585
13/04/20;3241;1484;10;1362
14/04/20;3235;2275;24;1508
15/04/20;3624;2078;9;1547
16/04/20;3320;2329;28;1474
17/04/20;3165;2656;11;1574
18/04/20;3364;2804;18;1425
19/04/20;3797;1805;20;1173
20/04/20;3343;1718;12;1471
21/04/20;3551;2105;10;1614
22/04/20;3943;1194;2;1422
23/04/20;3862;1210;21;1426
